// Wavelength label is 1064, NOT the actual wavelength
median_pulse_model,mean_pulse_model
0.002,0.002
0.002,0.001
0.002,0.001
0.001,0.000
0.001,0.000
0.001,-0.000
0.001,-0.001
-0.002,-0.001
-0.002,-0.001
-0.002,-0.002
-0.002,-0.003
-0.002,-0.004
-0.002,-0.004
0.001,-0.003
-0.002,-0.002
-0.002,-0.001
0.001,-0.001
0.001,-0.001
0.001,-0.000
0.001,-0.000
0.001,0.001
0.001,0.001
0.001,0.000
-0.002,-0.001
0.001,-0.001
0.001,-0.001
0.001,-0.001
0.001,-0.000
0.001,0.000
0.001,0.000
0.001,0.000
0.001,0.000
0.001,-0.000
0.001,-0.000
0.001,-0.001
0.001,-0.002
-0.003,-0.003
0.001,-0.003
-0.003,-0.003
-0.003,-0.003
0.001,-0.002
0.001,-0.001
0.001,-0.000
0.000,-0.000
0.000,0.000
0.000,0.000
0.000,-0.000
0.000,-0.000
0.000,-0.001
0.000,-0.001
0.000,-0.001
0.000,-0.001
-0.003,-0.001
0.000,-0.000
0.000,0.000
0.000,0.000
0.000,0.000
-0.003,0.000
0.000,-0.001
0.000,-0.001
0.000,-0.002
-0.003,-0.002
-0.003,-0.002
-0.003,-0.003
-0.003,-0.003
-0.003,-0.004
-0.003,-0.004
-0.003,-0.003
-0.003,-0.001
0.003,0.005
0.010,0.019
0.026,0.051
0.070,0.110
0.160,0.201
0.293,0.329
0.447,0.480
0.630,0.639
0.790,0.787
0.920,0.908
0.990,0.981
1.000,1.000
0.983,0.960
0.890,0.861
0.736,0.715
0.540,0.539
0.340,0.352
0.153,0.172
0.003,0.016
-0.127,-0.111
-0.221,-0.202
-0.261,-0.254
-0.267,-0.267
-0.251,-0.245
-0.201,-0.198
-0.131,-0.137
-0.061,-0.071
-0.001,-0.011
0.049,0.040
0.086,0.078
0.099,0.103
0.106,0.113
0.106,0.110
0.089,0.094
0.062,0.074
0.039,0.048
0.016,0.023
-0.004,0.002
-0.024,-0.018
-0.031,-0.033
-0.038,-0.041
-0.041,-0.044
-0.035,-0.040
-0.025,-0.032
-0.018,-0.021
-0.008,-0.009
-0.001,-0.001
0.005,0.006
0.012,0.012
0.015,0.016
0.015,0.020
0.012,0.020
0.012,0.018
0.012,0.015
0.005,0.011
0.002,0.007
0.002,0.004
-0.002,0.001
-0.005,-0.001
-0.005,-0.003
-0.005,-0.004
-0.005,-0.004
-0.005,-0.004
-0.005,-0.005
-0.005,-0.004
-0.005,-0.004
-0.005,-0.003
-0.002,0.000
0.001,0.003
0.001,0.004
0.005,0.007
0.005,0.008
0.005,0.009
0.005,0.010
0.005,0.010
0.005,0.007
0.001,0.005
-0.002,0.002
-0.002,-0.001
-0.005,-0.003
-0.005,-0.004
-0.009,-0.006
-0.009,-0.007
-0.006,-0.007
-0.006,-0.006
-0.006,-0.003
-0.002,0.001
0.001,0.005
0.008,0.010
0.004,0.013
0.011,0.015
0.008,0.016
