p_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,min_range,max_range
0.5,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,63990,72110,9.5,10.5
11,0,0,0,0,0,0,61870,69100,10.5,11.5
12,0,0,0,0,46300,53440,68120,75780,11.5,12.5
13,0,0,0,0,48230,55170,69890,79870,12.5,13.5
14,0,0,0,,45420,51220,65240,76100,13.5,14.5
15,0,0,26930,33540,49610,56230,72200,80230,14.5,15.5
1,0,0,0,0,0,0,0,0,0.5,1.5
1.5,0,0,0,0,0,0,0,0,1,2
20,0,0,25250,32680,46270,53400,66700,73920,19.5,20.5
25,0,0,27710,34770,47620,53330,66160,73940,24.5,25.5
2,0,0,0,0,0,0,0,0,1.5,2.5
2.5,0,0,0,0,0,0,70740,80900,2,3
30,8490,14020,23080,28450,43520,49130,0,0,29.5,30.5
35,8650,14040,25180,31850,47640,54870,0,0,34.5,35.5
3,0,0,0,0,0,0,64060,71660,2.5,3.5
3.5,0,0,0,0,0,0,60340,68540,3,4
40,8470,16170,24980,32680,47700,55250,0,0,39.5,40.5
4,0,0,0,0,0,0,68680,76140,3.5,4.5
4.5,0,0,0,0,0,0,68100,75310,4,5
50,7650,14130,23390,30640,45570,51240,0,0,49.5,50.5
5,0,0,0,0,0,0,45280,53450,4.5,5.5
5.5,0,0,0,0,0,0,65480,74120,5,6
60,8790,13820,23260,30320,42590,50120,0,0,59.5,60.5
6,0,0,0,0,0,0,64000,72160,5.5,6.5
6.5,0,0,0,0,0,0,63070,69950,6,7
70,8880,15830,27430,33590,45960,52920,0,0,69.5,70.5
7,0,0,0,0,0,0,61220,67860,6.5,7.5
7.5,0,0,0,0,0,0,59830,65770,7,8
8,0,0,0,0,0,0,60050,67920,7.5,8.5
8.5,0,0,0,0,0,0,61900,69100,8,9
9,0,0,0,0,0,0,60390,67430,8.5,9.5
9.5,0,0,0,0,0,0,61900,68190,9,10
